
@	@	PROPN	
ComUM	ComUM	PROPN	ORG
/	/	PUNCT	
artigo_1.md	artigo_1.md	VERB	

	
	SPACE	

#	#	CCONJ	
30ª	30ª	ADJ	

Edição	edição	NOUN	
do	de o	ADP	
FITU	FITU	PROPN	ORG
:	:	PUNCT	

“	“	PUNCT	
um	um	DET	
espetáculo	espetáculo	NOUN	
alegre	alegre	ADJ	
,	,	PUNCT	
cheio	cheio	ADJ	
de	de	ADP	
saudade	saudade	NOUN	
e	e	CCONJ	
bastante	bastante	ADV	
emotivo	emotivo	ADJ	
”	”	PUNCT	

	
	SPACE	

#	#	CCONJ	
#	#	ADV	

O	o	DET	
FITU	FITU	PROPN	ORG
decorre	decorrer	VERB	
entre	entre	ADP	
os	o	DET	
dias	dia	NOUN	
10	10	NUM	
e	e	CCONJ	
11	11	NUM	
de	de	ADP	
setembro	setembro	NOUN	
,	,	PUNCT	
nos	em o	ADP	
escadórios	escadórios	NOUN	
do	de o	ADP	
Bom Jesus de Braga	Bom Jesus de Braga	PROPN	LOC
e	e	CCONJ	
no	em o	ADP	
grande	grande	ADJ	
auditório	auditório	NOUN	
do	de o	ADP	
Altice FORUM	Altice FORUM	PROPN	MISC
.	.	PUNCT	

	
	SPACE	

03Set2021	03Set2021	NOUN	

|	|	VERB	
Bruna Sousa	Bruna Sousa	PROPN	PER

	
	SPACE	

O	o	DET	
Festival Internacional de Tunas Universitárias	Festival Internacional de Tunas Universitárias	PROPN	ORG
(	(	PUNCT	
FITU	FITU	PROPN	LOC
)	)	PUNCT	
Bracara Avgvsta	Bracara Avgvsta	PROPN	LOC
está	estar	AUX	
de	de	ADP	
regresso	regresso	NOUN	
com	com	ADP	
a	o	DET	
30ª	30ª	ADJ	
edição	edição	NOUN	
.	.	PUNCT	

Divididas	Divididas	VERB	
entre	entre	ADP	
o	o	DET	
Bom Jesus	Bom Jesus	PROPN	LOC
e	e	CCONJ	
o	o	DET	
Altice Forum Braga	Altice Forum Braga	PROPN	ORG
,	,	PUNCT	
as	o	DET	
tunas	tuna	NOUN	
voltam	voltar	VERB	
a	a	SCONJ	
invadir	invadir	VERB	
a	o	DET	
cidade	cidade	NOUN	
bracarense	bracarense	ADJ	
nos	em o	ADP	
dias	dia	NOUN	
10	10	NUM	
e	e	CCONJ	
11	11	NUM	
de	de	ADP	
setembro	setembro	NOUN	
.	.	PUNCT	

O	o	DET	
ComUM	ComUM	PROPN	ORG
foi	ser	VERB	
ao	a o	ADP	
encontro	encontro	NOUN	
da	de o	ADP	
Tuna Universitária do Minho	Tuna Universitária de o Minho	PROPN	MISC
(	(	PUNCT	
TUM	TUM	PROPN	ORG
)	)	PUNCT	
,	,	PUNCT	
que	que	PRON	
explicou	explicar	VERB	
como	como	ADV	
é	ser	AUX	
participar	participar	VERB	
na	em o	ADP	
iniciativa	iniciativa	NOUN	
e	e	CCONJ	
quais	qual	DET	
as	o	DET	
expectativas	expectativa	NOUN	
para	para	ADP	
a	o	DET	
nova	novo	ADJ	
edição	edição	NOUN	
.	.	PUNCT	

	
	SPACE	

Em	em	ADP	
2020	2020	NUM	
,	,	PUNCT	
ano	ano	NOUN	
em	em	ADP	
que	que	PRON	
a	o	DET	
TUM	TUM	PROPN	ORG
celebrava	celebrar	VERB	
,	,	PUNCT	
também	também	ADV	
ela	ela	PRON	
,	,	PUNCT	
30	30	NUM	
anos	ano	NOUN	
de	de	ADP	
fundação	fundação	NOUN	
,	,	PUNCT	
a	o	DET	
pandemia	pandemia	NOUN	
travou	travar	VERB	
as	o	DET	
expectativas	expectativa	NOUN	
de	de	ADP	
festejo	festejo	NOUN	
.	.	PUNCT	

João Barbosa	João Barbosa	PROPN	PER
,	,	PUNCT	
elemento	elemento	NOUN	
da	de o	ADP	
organização	organização	NOUN	
da	de o	ADP	
TUM	TUM	PROPN	ORG
,	,	PUNCT	
garante	garantir	VERB	
,	,	PUNCT	
assim	assim	ADV	
,	,	PUNCT	
que	que	SCONJ	
os	o	DET	
tunantes	tunante	NOUN	
ficaram	ficar	VERB	
com	com	ADP	
“	“	PUNCT	
uma	um	DET	
sensação	sensação	NOUN	
de	de	SCONJ	
dever	dever	VERB	
não	não	ADV	
cumprido	cumprir	VERB	
”	”	PUNCT	
.	.	PUNCT	

	
	SPACE	

Inês Batista	Inês Batista	PROPN	PER
|	|	PROPN	
ComUM	ComUM	PROPN	

	
	SPACE	

“	“	PUNCT	
O	o	DET	
trabalho	trabalho	NOUN	
que	que	PRON	
estivemos	estivemos	VERB	
a	a	SCONJ	
fazer	fazer	VERB	
durante	durante	ADP	
vários	vários	DET	
meses	mês	NOUN	
,	,	PUNCT	
quase	quase	ADV	
um	um	NUM	
ano	ano	NOUN	
,	,	PUNCT	
para	para	SCONJ	
apresentar	apresentar	VERB	
um	um	DET	
grande	grande	ADJ	
festival	festival	NOUN	
,	,	PUNCT	
ainda	ainda	ADV	
por	por	ADP	
cima	cima	NOUN	
a	o	DET	
30ª	30ª	ADJ	
edição	edição	NOUN	
–	–	PUNCT	
com	com	ADP	
as	o	DET	
melhores	bom	ADJ	
tunas	tuna	NOUN	
que	que	PRON	
já	já	ADV	
participaram	participar	VERB	
no	em o	ADP	
FITU	FITU	PROPN	ORG
e	e	CCONJ	
tunas	tuna	NOUN	
com	com	ADP	
renome	renome	NOUN	
internacional	internacional	ADJ	
.	.	PUNCT	

Já	já	ADV	
estava	estar	AUX	
tudo	tudo	PRON	
preparado	preparar	ADJ	
e	e	CCONJ	
,	,	PUNCT	
de	de	ADP	
repente	repente	NOUN	
,	,	PUNCT	
a	o	DET	
pandemia	pandemia	NOUN	
bloqueou-nos	bloqueou-no	VERB	
a	o	DET	
realização	realização	NOUN	
do	de o	ADP	
evento	evento	NOUN	
e	e	CCONJ	
ficamos	ficar	VERB	
sempre	sempre	ADV	
