Loc,Ocorrências
Universidade de o Minho,217
AAUMinho,76
Braga,63
RGA,63
Guimarães,47
UMinho,39
Gualtar,35
Portugal,29
Azurém,27
em Portugal,27
Reunião Geral de Alunos,25
Caracol,16
Governo,14
Minho,14
Gatuna,14
Largo de o Paço,12
Ensino Superior,11
Mesa de o Reunião Geral de Alunos,11
Augustuna,11
Afonsina,10
PRR,9
Tun’ao Minho,9
UPorto,8
aAUMinho,8
Campus de Azurém,8
Porto,8
SASUM,7
campus de Gualtar,7
Europa,6
RUM,6
Serenatas Velhas,6
ComUM,6
CEMP,6
Palestina,6
Teatro Jordão,6
Lisboa,6
Theatro Circo,5
Viana de o Castelo,5
AAUM,5
Universidade,5
Universidade de o Porto,4
CAUM,4
Couros,4
Reitoria,4
Salão Medieval,4
Jurisdicional,4
Universidade de Aveiro,4
Instituto de Ciências Sociais,4
Covid-19,4
Nova Iorque,4
UTAD,4
Feedzai,4
Arraial Azeiteiro,4
Jogralhos,3
de Braga,3
ICVS,3
EUA,3
Lucas Rodrigues,3
Ministério,3
Mesa de o RGA,3
Tânia,3
Universidades,3
Escolas,3
Universidade Nova de Lisboa,3
Garagem Avenida,3
PREVPAP,3
Estados Unidos de o América,3
Ministério de o Ciência,3
Rádio Universitária de o Minho,3
CP2,3
Caloiro de Molho,3
Bar Académico,3
Savana,3
Comercial,3
Ucrânia,3
Rússia,3
Câmara Municipal de Braga,3
Conselho Geral,3
Espanha,3
| Maria Carvalho,3
Cidade Berço,3
Israel,3
Hospital de Braga,3
Barcelona,3
Escola,3
SC Braga,3
ENDA,3
Loune,3
Bom Jesus,2
Azeituna,2
Ponte de Lima,2
Instituto de Investigação em Ciências de o Vida e Saúde,2
Teatro,2
Lamego,2
Algarve,2
DGES,2
Estudos Portugueses,2
Países Africanos,2
Residência Andy,2
Bairro de o Enguardas,2
Universidade de Évora,2
Reino Unido,2
Saúde,2
Academia Minhota,2
Engenharia Aeroespacial,2
Ciências de Dados,2
| Maria de Pinto Freitas,2
Pavilhão Multiusos de Guimarães,2
BA,2
Chile,2
Itália,2
FITU Bracara Augusta,2
Almada,2
Lusófonos,2
Educação,2
Esposende,2
Arcos de Valdevez,2
Universidade de Bolonha,2
Biblioteca Pública de Braga,2
Encontro Nacional de Direções Associativas,2
Governo português,2
Paço,2
Trás-os-Montes e Alto Douro,2
Reitor de o UMinho,2
Brasil,2
Malta,2
Centro de Medicina Digital P5,2
Faro,2
Ourense,2
Vigo,2
Nata,2
Alemanha,2
COVID-19,2
Pavilhão José Natário,2
Educação Básica,2
Gaza,2
Desporto,2
Vinho de o Porto,2
Museu Nogueira de o Silva,2
Cabido de Cardeais,2
Multiuso de Guimarães,2
Resende,2
Penha,2
Igreja de Nossa Senhora de o Oliveira,2
Santiago de Compostela,2
Bom Jesus de Braga,1
FITU,1
Bracara Avgvsta,1
AAUE,1
Covilhã,1
Instituto Politécnico de Santarém,1
Engenharia Eletrónica Industrial e Computadores,1
João Dias,1
João Barbosa,1
Mestrado,1
Engenharia Informática de o AAUM,1
Largo Cónego José Maria Gomes,1
Famalicão,1
Barcelos,1
Póvoa de o Varzim,1
Pavilhão Desportivo de Azurém,1
sameiro,1
Estudos de o Criança,1
Instituto de Educação de o UMinho,1
Agrupamento de Escolas de Real,1
Instituto Português de o Desporto,1
Paris,1
França,1
Investigadora de o UMinho,1
Tânia Soares,1
Arquitetura de o Universidade de o Minho,1
Chicago,1
Ciência Política,1
Instituições de Ensino Superior,1
Estátua de o Prometeu,1
Cidade de Guimarães,1
Largo de o Câmara Municipal,1
Carolina Machado,1
Unir,1
Viseu,1
Engenharia Biológica,1
Civil,1
Comunicações,1
Estudos Culturais,1
Rossio de o Sé,1
Sameiro,1
Sede de o AAUMinho,1
Santa Luzia,1
ARCUS,1
Reuniões Gerais de Alunos,1
CG,1
Ambiciona,1
Rio Maior,1
Ministério Público,1
| Paulo,1
Maurício,1
Salão Medieval de o Reitoria de o Universidade de o Minho,1
Rancho,1
Mariana Festa,1
Universidade Minhota,1
Associação,1
Assembleias Gerais,1
Burnout empresarial,1
Atestou,1
Escola de Santa Luzia,1
Camara Municipal de Braga,1
Medicina,1
Aveiro,1
Vila Real,1
faculdade de Medicina de Lisboa,1
Ministério de o Saúde,1
ULSAM,1
Juridiscional,1
Pedro Antunes,1
Direção,1
campus de Azurém,1
Instituto Português de o Sangue,1
Polo de Guimarães,1
vereador de o câmara,1
Reitor de o Universidade de o Minho,1
Centro Nacional de Computação Avançada,1
PR,1
Artes Visuais,1
Paulo Cruz,1
Centro Paroquial de Aldoar,1
apuro,1
Encontrar+se,1
favela,1
Rola,1
Paredes de Coura,1
Cabritinha,1
Estupefação,1
