Propn,Ocorrências,
ComUM,369,
Universidade de o Minho,217,
AAUM,116,
AAUMinho,97,
Margarida Isaías,88,
RGA,85,
CFJ,72,
UMinho,70,
Rui Vieira de Castro,66,
Braga,64,
Associação Académica,49,
Guimarães,47,
Gatuna,46,
Associação Académica de o Universidade de o Minho,43,
Gualtar,35,
Duarte Lopes,34,
Muffin,33,
Loune,32,
Portugal,29,
Conselho Geral,29,
RUM,29,
Azurém,27,
em Portugal,27,
Luís Pereira,27,
SASUM,26,
Conselho Fiscal e Jurisdicional,25,
Reunião Geral de Alunos,25,
Marta Rodrigues | ComUM,24,
B,22,
Afonsina,21,
Joana Oliveira,21,
António Cunha,21,
Rui Oliveira,21,
Sónia Fernandes,19,
Azeituna,17,
Manuel Heitor,17,
Maria Francisca Barros,16,
Caracol,16,
Francisco Silva,15,
Elisa Siquara I ComUM,15,
Hélder Matos,14,
Associação académica de o Universidade de o Minho,14,
CG,14,
Governo,14,
Minho,14,
Comissão Eleitoral,14,
Mesa de o Reunião Geral de Alunos,13,
Ensino Superior,13,
Pedro Antunes,13,
PRR,13,
David Ribeiro,13,
TUM,12,
Lista B,12,
José Diogo Soares,12,
Largo de o Paço,12,
Miguel Lima,12,
Erasmus,12,
ESN,12,
ComUM Online,11,
Covid-19,11,
ADAUM,11,
Augustuna,11,
Inês Batista,10,
Maria,10,
Tun’ao Minho,10,
João Monteiro,10,
ARCUM,10,
Gabriel Castro,10,
Rúben Monteiro,10,
Jéssica Machado I ComUM,10,
Clara Calheiros,10,
Joana Oliveira | ComUM,10,
Maria Carvalho,9,
Jacinta Sampaio,9,
Senado Académico,9,
Joana Marques Vidal,9,
Academia,9,
Carlos Videira,9,
Carlão,9,
Tuna Universitária de o Minho,8,
UPorto,8,
Ciências de o Comunicação,8,
Margarida de o Silva Carvalho,8,
Mariana Lopes,8,
aAUMinho,8,
Plano de Recuperação e Resiliência,8,
Cláudia Matos,8,
SNESup,8,
Campus de Azurém,8,
Porto,8,
Comissão Europeia,8,
Trovas,8,
Ana Margarida Alves,7,
campus de Gualtar,7,
Engenharia Aeroespacial,7,
Andy Student Living,7,
Lista C,7,
MIA,7,
Bruno Alcaide,7,
Prometeu,7,
Academia Minhota,7,
Ana Lopes,7,
Cortejo Académico,7,
FITU,6,
CAUM,6,
Europa,6,
RGA?,6,
RJIES,6,
Hélio Carvalho,6,
Lucas Rodrigues,6,
M,6,
Serenatas Velhas,6,
GFSUM,6,
Nuno Reis,6,
CEMP,6,
Palestina,6,
Teatro Jordão,6,
Relações Internacionais,6,
Escola de Economia e Gestão,6,
Lisboa,6,
Bruno Dias,6,
Daniela Amorim-,6,
de o Weasel,6,
João Barbosa,5,
Theatro Circo,5,
Viana de o Castelo,5,
associação Académica,5,
Marisa Coelho,5,
Enterro de o Gata,5,
Serviços de Ação Social de o Universidade de o Minho,5,
Elvira Fortunato,5,
Pedro Paredes,5,
Lista H,5,
Marta Ferreira,5,
Start Point,5,
Universidade,5,
Sindicato Nacional de o Ensino Superior,5,
André Igreja,5,
associação académica de o Universidade de o Minho,5,
António Costa,5,
Paulo Cruz,5,
Multiusos,5,
Escola de Ciências,5,
Carta Erasmus,5,
Lisa Gomes,5,
Paulo Rodrigues,5,
Rui Rodrigues,5,
Micaela Vitullo,5,
Diogo Piçarra,5,
Erasmus Student Network Minho,5,
Altice Forum Braga,4,
Universidade de o Porto,4,
| ComUM Online,4,
Escola de Medicina,4,
Couros,4,
Pedro Arezes,4,
PNAES,4,
Senado Académico de o Universidade de o Minho,4,
Lista P,4,
DGES,4,
Engenharia Biomédica,4,
Física,4,
Reitoria,4,
Andy,4,
Ana Beatriz Ferreira,4,
T,4,
Salão Medieval,4,
Conselho Fiscal e,4,
Jurisdicional,4,
Débora Monteiro,4,
Instagram,4,
Catarina Fernandes,4,
João Pedro Quesado,4,
Joana Fraga,4,
Luana Pereira,4,
Deucalion,4,
Carina Ribeiro,4,
Escola de Direito,4,
Universidade de Aveiro,4,
Escola de Letras,4,
PREVPAP,4,
Instituto de Ciências Sociais,4,
Vieira de Castro,4,
FCT Tenure,4,
Rui Castro,4,
Youtube,4,
Escola de Engenharia,4,
Marta Rodrigues,4,
Programa Erasmus+,4,
Nova Iorque,4,
Gabriel Oliveira,4,
UTAD,4,
| Maria Carvalho,4,
Conselho Geral de o Universidade de o Minho,4,
AEDUM,4,
Ordem de o Advogados,4,
OA,4,
CNED,4,
Igor Fernandes,4,
Fernando Mendes,4,
Feedzai,4,
Rafael Couto,4,
Cunha,4,
Escola,4,
Arraial Azeiteiro,4,
Sandra Vaz,4,
SC Braga,4,
CELTA,4,
Nelson Martins,4,
Dia Nacional de o Estudante,4,
Inês Castro,4,
Departamento,4,
Tuna de Ciências de o Universidade de o Minho,3,
Tuna de Engenharia de o Universidade de o Minho,3,
Jogralhos,3,
Associação Académica de Coimbra,3,
AAC,3,
de Braga,3,
P,3,
Ciência Política,3,
Nuno Sousa,3,
Escola de Medicina de o Universidade de o Minho,3,
Catarina Silva,3,
Coro Académico de o UMinho,3,
Paulo Costa,3,
AABCJ,3,
João Pedro Sousa,3,
ICVS,3,
ERC,3,
EUA,3,
Google,3,
D,3,
Internet,3,
C,3,
Engenharia e Gestão de Sistemas de Informação,3,
Engenharia Têxtil,3,
Engenharia e Gestão Industrial,3,
CPLP,3,
Orçamento de Estado,3,
Direção-Geral de o Ensino Superior,3,
Estudos Portugueses,3,
Optometria e Ciências de o Visão,3,
Estudantes de o UMinho,3,
Ministério,3,
Mesa de o RGA,3,
Conselho Geral de o UMinho,3,
Marlene Santos,3,
Tânia,3,
Congregados,3,
Minho Investiment Association,3,
Rodrigo,3,
Educação Básica,3,
Universidades,3,
Escolas,3,
Reitor de o UMinho,3,
Fausto Pinto,3,
EPsi,3,
Conselho Fiscal,3,
Universidade Nova de Lisboa,3,
Isabel Ermida,3,
Garagem Avenida,3,
Artes e Ciências Humanas,3,
Estados Unidos de o América,3,
Fundação para a Ciência,3,
| Maria de Pinto Freitas,3,
Quim Barreiros,3,
Ministério de o Ciência,3,
CRUP,3,
Luís Esteves,3,
Facebook,3,
Rádio Universitária de o Minho,3,
Lloyd,3,
EEUM,3,
Sofia Lucas,3,
CP2,3,
Start Point Summit,3,
Caloiro de Molho,3,
Monumentais Festas de o Enterro de o Gata,3,
Bar Académico,3,
Daniel Carvalho,3,
Savana,3,
Chinês Turístico,3,
Comercial,3,
Ucrânia,3,
Rússia,3,
Maria Manuel Oliveira,3,
UPA,3,
THE,3,
Dias Sociais,3,
Câmara Municipal de Braga,3,
Deloitte,3,
Federação Académica de o Desporto Universitário,3,
ESE,3,
Espanha,3,
Joana Antunes,3,
José Moreira,3,
Fernanda Cássio,3,
Ramiro Brito,3,
Cidade Berço,3,
Academia Europeia de Optometria e Ótica,3,
Eduardo Teixeira,3,
Israel,3,
Hospital de Braga,3,
TIMES,3,
Barcelona,3,
IRS Jovem,3,
PS,3,
IRS,3,
Escola de Enfermagem,3,
Eduardo Miranda,3,
Jorge Silvério,3,
TutorUM,3,
António Paisana,3,
ABC,3,
Rita*,3,
Orquestra Académica de o UMinho,3,
SMN,3,
Isac Valente,3,
ENDA,3,
Serviços de Ação Social,3,
