VERB,Oco
ter,728
fazer,383
poder,273
haver,224
ser,166
querer,161
dever,140
dar,134
achar,131
conseguir,129
estar,129
dizer,122
saber,111
existir,103
contar,86
afirmar,83
pretender,82
ficar,80
passar,79
vir,79
ver,79
acabar,78
considerar,77
criar,77
ir,76
trabalhar,76
decorrer,74
falar,72
continuar,70
apresentar,68
começar,67
conhecer,65
referir,64
representar,64
acreditar,64
destacar,63
garantir,62
realizar,61
receber,59
chegar,58
explicar,57
promover,57
defender,57
acontecer,56
participar,50
melhorar,50
levar,50
deixar,50
perceber,49
aumentar,49
sentir,49
encontrar,47
gostar,46
acrescentar,46
pensar,44
tomar,44
voltar,43
permitir,43
ajudar,43
tentar,42
surgir,42
mostrar,41
tocar,40
trazer,39
abrir,39
colocar,38
organizar,38
desenvolver,38
envolver,38
marcar,37
procurar,36
manter,35
esperar,35
admitir,34
partir,34
disponibilizar,33
aprovar,33
entrar,33
ouvir,32
reforçar,32
terminar,32
declarar,31
votar,30
revelar,30
elevar,29
realçar,29
viver,28
tornar,28
precisar,28
escrever,27
acompanhar,27
reconhecer,27
avançar,25
mudar,25
assegurar,25
cumprir,24
esclarecer,24
partilhar,24
discutir,24
escolher,24
vencer,24
sublinhar,23
combater,23
iniciar,23
identificar,23
servir,23
cantar,23
ocorrer,22
demonstrar,22
aproximar,22
propor,22
obter,22
aprender,22
divulgar,22
seguir,21
utilizar,21
informar,21
apontar,21
estudar,21
prever,21
contribuir,21
assumir,21
compor,20
eleger,20
oferecer,20
ganhar,20
apelar,20
motivar,19
constituir,19
associar,19
sair,19
entender,19
formar,19
construir,18
integrar,18
olhar,18
determinar,18
parecer,18
decidir,18
pagar,18
comunicar,18
mencionar,18
resolver,17
deslocar,17
exigir,17
responder,17
afetar,17
anunciar,17
incluir,17
ocupar,16
distinguir,16
preparar,16
salientar,16
atingir,16
possuir,16
caber,16
conquistar,15
significar,15
definir,15
implementar,15
faltar,15
confessar,15
reduzir,15
visar,15
tratar,15
analisar,15
transmitir,15
abordar,15
pedir,15
presidir,15
prestar,15
acolher,14
perder,14
concluir,14
crescer,14
destinar,14
valorizar,14
funcionar,14
ligar,14
refletir,13
aproveitar,13
praticar,13
corresponder,13
chamar,13
correr,13
lutar,13
focar,13
lançar,13
celebrar,12
contactar,12
diminuir,12
juntar,12
publicar,12
alargar,12
obrigar,12
nascer,12
falhar,12
registar,12
consistir,12
fechar,11
necessitar,11
relacionar,11
optar,11
assinalar,11
atribuir,11
debater,11
compreender,11
concorrer,11
atuar,11
apostar,11
dedicar,11
relembrar,11
apoiar,11
liderar,11
experimentar,11
verificar,10
justificar,10
gerar,10
unir,10
especializar,10
usar,10
lembrar,10
concretizar,10
criticar,10
confirmar,10
preencher,10
lamentar,10
pertencer,10
direcionar,10
reunir,10
expor,10
subir,9
gerir,9
entregar,9
durar,9
encabeçar,9
reivindicar,9
inserir,9
arranjar,9
frequentar,9
afastar,9
designar,9
prometer,9
ultrapassar,9
estabelecer,8
colmatar,8
reiterar,8
aparecer,8
recordar,8
aplicar,8
mobilizar,8
ensinar,8
encarar,8
retirar,8
comparar,8
enfrentar,8
incentivar,8
respeitar,8
investir,8
arrancar,8
interessar,8
consolidar,8
enviar,8
alcançar,8
dirigir,8
resultar,8
adiantar,8
aderir,8
beneficiar,8
regressar,7
transformar,7
contrariar,7
comprometer,7
questionar,7
sugerir,7
sustentar,7
denunciar,7
aprofundar,7
produzir,7
avaliar,7
possibilitar,7
arrecadar,7
englobar,7
elaborar,7
abranger,7
concordar,7
assistir,7
aceitar,7
tirar,7
percorrer,7
andar,7
descrever,7
convidar,7
proporcionar,7
adicionar,7
colaborar,7
causar,7
exercer,7
adaptar,6
premiar,6
evoluir,6
alterar,6
preenchir,6
ingressar,6
aconselhar,6
candidatar,6
esquecer,6
prevenir,6
introduzir,6
Poder,6
localizar,6
variar,6
observar,6
prosseguir,6
costumar,6
nomear,6
indicar,6
atualizar,6
finalizar,6
notar,6
acusar,6
constar,6
doar,6
sofrer,6
assinar,6
animar,6
completar,6
renovar,6
conjugar,6
levantar,6
pintar,6
comemorar,6
preocupar,6
ceder,6
expressar,5
manifestar,5
antecipar,5
dialogar,5
estender,5
evitar,5
orientar,5
caracterizar,5
inovar,5
distribuír,5
captar,5
merecer,5
planear,5
for,5
adotar,5
impedir,5
limitar,5
financiar,5
conduzir,5
recandidatar,5
errar,5
dinamizar,5
quer,5
agir,5
tencionar,5
alertar,5
fomentar,5
lidar,5
repetir,5
carregar,5
desenvolvir,5
avisar,5
depender,5
ler,5
homenagear,5
contratar,5
sintar,5
submeter,5
recorrer,5
recuperar,5
fixar,5
averiguar,5
disputar,5
superar,5
agregar,5
reparar,5
cair,5
travar,4
repensar,4
conversar,4
senter,4
sensibilizar,4
pegar,4
comprometir,4
consultar,4
suportar,4
facilitar,4
fiscalizar,4
conciliar,4
envolvar,4
auscultar,4
perguntar,4
visitar,4
fornecer,4
reprovar,4
concluír,4
acarretar,4
inaugurar,4
custar,4
demorar,4
usufruir,4
agradecer,4
ambicionar,4
pôr,4
conseguirr,4
constatar,4
encerrar,4
influenciar,4
rematar,4
debatir,4
importar,4
aquecer,4
prejudicar,4
dispor,4
rodear,4
basear,4
dificultar,4
relevar,4
mantiver,4
negar,4
caminhar,4
auxiliar,4
alimentar,4
recolher,4
jogar,4
estabelecir,4
comer,4
veer,4
ensaiar,4
desligar,4
formalizar,4
esquecir,4
comandar,4
competir,4
desvalorizar,4
moldar,4
aperceber,4
estagiar,4
invadir,3
substituir,3
adquirir,3
esgotar,3
comentar,3
isolar,3
coincidir,3
entrevistar,3
treinar,3
inscrever,3
pesquisar,3
exemplificar,3
habituar,3
felicitar,3
dividir,3
advémr,3
estimular,3
recusar,3
calhar,3
proibir,3
impor,3
conter,3
espelhar,3
federar,3
pautar,3
trajar,3
mandar,3
traduzir,3
comportar,3
concentrar,3
carecer,3
assolar,3
atrasar,3
vejor,3
negligenciar,3
cozinhar,3
contestar,3
montar,3
esforçar,3
quebrar,3
protagonizar,3
consigir,3
cometir,3
alocar,3
priorizar,3
executar,3
desenhar,3
somar,3
reafirmar,3
capacitar,3
contribuír,3
sentar,3
enfatizar,3
divergir,3
fundar,3
ressaltar,3
