LOC,Ocorrências
Braga,183
Portugal,165
em Portugal,163
UMinho,123
Guimarães,113
Universidade de o Minho,112
EUA,94
Europa,90
Lisboa,84
Porto,61
Gualtar,54
Brasil,49
Escola,48
Galiza,47
Espanha,44
Reino Unido,43
Azurém,39
Minho,36
França,32
Reitoria,31
Alemanha,30
Largo de o Paço,28
ICVS,28
Angola,27
Moçambique,26
Universidade,26
Inglaterra,23
Universidade de o Porto,22
Itália,22
Holanda,21
Instituto de Ciências Sociais,19
China,19
Instituto de Educação,17
EAUM,16
Macau,16
África,15
Norte,14
Coimbra,14
Aveiro,14
Canadá,14
Áustria,14
AFUM,13
CECS,13
Japão,12
Educação,12
Algarve,12
Suíça,12
Instituto de Letras e Ciências Humanas,12
Santiago de Compostela,11
Austrália,11
Museu Nogueira de o Silva,11
Londres,11
Artes,11
CEL,11
Sul,10
Biblioteca Lúcio Craveiro de o Silva,10
Ásia,10
Governo,9
Cabo Verde,9
Ciências Sociais,9
Bélgica,9
Açores,9
Universidade de Lisboa,9
Instituto,9
Famalicão,9
Humanidades,9
Islândia,9
CE,8
Lourenço Marques,8
Universidade de Coimbra,8
Vila Verde,8
Teatro,8
Paris,8
Centro,8
Polónia,8
Biblioteca Pública de Braga,8
Nova de Lisboa,8
Via Láctea,7
Finlândia,7
Fundação Calouste Gulbenkian,7
Instituto de Educação e Psicologia,7
Viena,7
Universidade de Lourenço Marques,7
Argentina,7
PIEP,7
Município,7
centro,7
Cuba,7
Bruxelas,7
Viana de o Castelo,7
Universidade de Santiago de Compostela,6
Palácio Vila Flor,6
Norte de Portugal,6
Arquitetura,6
América Latina,6
Madeira,6
Quénia,6
Centro de Computação Gráfica,6
México,6
Índia,6
Universidades,6
NIG,6
Universidade de Aveiro,6
Ensino Superior,6
Póvoa de Lanhoso,6
SAUM,6
Património,6
Centro de Investigação em Educação,6
LAC,6
Mariana,6
História,5
Vila de o Conde,5
Casa Museu de Monção,5
Orquestra de o UMinho,5
Administração Pública,5
Ucrânia,5
Instituto de Educação de o UMinho,5
Barcelos,5
Universidade de o Beira Interior,5
Turquia,5
Grécia,5
Centro Cultural Vila Flor,5
Couros,5
universidade,5
Barcelona,5
Felgueiras,5
Estudos Culturais,5
Centro de Ciência e Tecnologia Têxtil,5
Theatro Circo,5
Centro de Informática,5
Winwel,5
América de o Sul,5
Filosofia,5
SC Braga,5
Nova Iorque,5
Centro de Investigação em Estudos de o Criança,5
Centro de Investigação em Psicologia,5
Arquivo Distrital de Braga,5
Suécia,5
Antártida,5
Irlanda,5
Biblioteca,5
Dinamarca,5
Noruega,5
Institutos,5
Laboratório de Paisagens,5
Estado Social,5
Taipas Termal,5
Alto Minho,5
Exchange,5
Consello de o Cultura Galega,4
Guisado,4
INL,4
Rádio Universitária de o Minho,4
Biblioteca Pública,4
Museu Alberto Sampaio,4
Paço de o Duques,4
Gabinete,4
Ministério de o Educação,4
Bom Jesus,4
Évora,4
África de o Sul,4
Maputo,4
Centro de Investigação,4
Bracara Augusta,4
University College London,4
Palácio de Vila Flor,4
Hospital de Braga,4
Póvoa de Varzim,4
Rússia,4
Natal,4
Vila Flor,4
Ciências,4
Ciências Sociais e Humanas,4
Israel,4
Roma,4
Comunicação,4
GID,4
Instituto de Ciências Sociais de o UMinho,4
Zurique,4
Médio Oriente,4
Gulbenkian,4
Zandinga,4
Estudos Portugueses,4
FCT,4
Venezuela,4
Bragança,4
Escolas,4
Universidade de Trás-os-Montes e Alto Douro,4
Leiria,4
Vizela,4
norte,4
Indonésia,4
WN,4
Terras de Bouro,4
Céu Taveira,4
Universidade de Groningen,4
Pazos,3
Instituto de Letras e Ciências Humanas de o UMinho,3
Melgaço,3
Arquivo Distrital,3
Museu de o Biscainhos,3
RUM,3
Torres Vedras,3
Edifício de o Congregados,3
Luanda,3
GPI,3
Avenida Central,3
ULM,3
UNL,3
Universidade de o Algarve,3
Estrasburgo,3
Nova Zelândia,3
Vaticano,3
Buenos Aires,3
professora,3
teatro,3
Ovar,3
Lyon,3
Polo de Inovação em Engenharia de Polímeros,3
ISET,3
Universidade Nova de Lisboa,3
Complexo Pedagógico I,3
SUDOE,3
Casais,3
Península Ibérica,3
Gaia,3
Vigo,3
Saúde,3
Madrid,3
Lusófonos,3
Bordéus,3
Gomziakov,3
Direção Financeira e Patrimonial,3
Ciências de o Saúde,3
Construções Históricas,3
Atlântico,3
Relações Internacionais,3
Informática,3
UEG,3
Universidade de Liège,3
Faro,3
Engenharia,3
Setúbal,3
TIs,3
Hungria,3
Depósito Legal,3
Instituto de Educação de o Universidade de o Minho,3
Reiquiavique,3
Tartu,3
Eslovénia,3
Alentejo,3
Palestina,3
Banhos Velhos,3
Pedro Cruz,3
Abade de o Loureira,3
Biblioteca Geral,3
Mombaça,3
Kibera,3
Dublin,3
The Discoveries Centre,3
Teatro Jordão,3
Maia,3
Vietname,3
Monção,3
Solfarcos,3
ADB,3
Países Baixos,3
Consello de Cultura Galega,2
de Lisboa,2
Redondela,2
Filologia Portuguesa,2
Galegos,2
Galego,2
Lugo,2
USC,2
País Basco,2
Catalunha,2
Instituto Camões,2
Pontevedra,2
Universidade de Vigo,2
Sesimbra,2
Melbourne,2
Paço de o Duques de Bragança,2
Museu de Arqueologia D. Diogo de Sousa,2
Instituto Confúcio,2
de São Paulo,2
Círculo,2
ministério,2
Olhe,2
Rua de o Souto,2
Ministério de o negócio estrangeiro,2
Santa Tecla,2
Estudos Gerais Universitários de Moçambique,2
Manchester,2
Fundação,2
Ministério,2
Harvard,2
Fundação Carlos Lloyd Braga,2
Universidade de Manchester,2
Cátedra Lloyd Braga,2
Medicina de o UMinho,2
Trás-os-Montes e Alto Douro,2
Iraque,2
Afeganistão,2
Europeus,2
Mediterrâneo,2
Centro Avançado de Formação Pós-Graduada,2
Silicon Valley,2
Montanhas Rochosas,2
Lagareiro,2
Califórnia,2
Marte,2
Olinda Oliveira,2
Gabinete de Carreiras,2
Euronews,2
Economia,2
Zimbabué,2
Confibercom,2
Mafra,2
Lixa,2
Faculdades de Letras,2
Ciências de o Comunicação,2
comunicação,2
estado,2
Biossustentabilidade,2
Laboratório de o Paisagem,2
Paulo Machado,2
psicologia,2
Estados Unidos de o América,2
Biomédica,2
Centro de Informática de o UMinho,2
Instituto de Soldadura e,2
UNU-EGOV,2
Estremadura,2
Amares,2
matemática,2
Carolina Rodrigues,2
Ave,2
Autarquias Locais,2
Timor,2
Gerês,2
Autoridade Nacional de o Medicamento e Produtos de Saúde,2
Pombal,2
Oxford,2
Portugal Fashion,2
ABC,2
São Bernardo,2
Gata,2
Tailândia,2
de o Norte,2
Funchal,2
Pavilhão Desportivo,2
MEEAIC,2
Natural de Braga,2
Museu de o Música,2
MNS,2
Museu D. Diogo de Sousa,2
Penafiel,2
República Dominicana,2
Instituto de Investigação em Ciências de o Vida e Saúde,2
Perú,2
Sri Lanka,2
Cidade de o México,2
Estados parte,2
Insead,2
IPJ,2
Instituto Português de o Juventude,2
Serviços Académicos,2
Rua de o Castelo,2
Vale,2
Microssistemas Eletromecânicos,2
CMEMS,2
Ártico,2
Lorena,2
Páscoa,2
Vieira de o Minho,2
SASUM,2
Joane,2
Caldas de Vizela,2
Território,2
Biblioteca Nuno Portas,2
Câmara Municipal,2
Caldas de o Taipas,2
Ciências de o Natureza,2
