PROPN,Ocorrências
UMinho,313
Braga,186
Portugal,165
em Portugal,163
Guimarães,113
Universidade de o Minho,112
EUA,94
Europa,90
Lisboa,84
Porto,61
Escola,59
UMinho?,56
Gualtar,54
Brasil,49
Galiza,47
Espanha,44
Reino Unido,43
UE,43
ICS,42
Azurém,39
Reitoria,39
Natal,37
Minho,36
ILCH,36
FCT,36
Lloyd Braga,34
França,32
VÍDEO,31
Escola de Engenharia,30
Alemanha,30
IE,29
Largo de o Paço,28
ICVS,28
Angola,27
Erasmus,27
BPB,27
RBI,27
CIEd,27
Moçambique,26
Universidade,26
CIEC,26
Inglaterra,23
Universidade de o Porto,22
Itália,22
União Europeia,22
Carlos Lloyd Braga,22
Holanda,21
História,20
Escola de Ciências,20
Instituto de Ciências Sociais,20
Google,20
Ciências de o Comunicação,20
China,19
Chainho Pereira,19
Comissão Europeia,19
Escola de Psicologia,18
Instituto de Educação,17
Química,17
Escola de Direito,17
CBMA,17
CEL,17
SDUM,16
EDUM,16
EAUM,16
Macau,16
Lourenço Marques,15
Carlos Bernardo,15
África,15
Instituto de Letras e Ciências Humanas,14
AFUM,14
Norte,14
Relações Internacionais,14
Coimbra,14
Aveiro,14
Serviços Técnicos,14
Canadá,14
Escola de Economia e Gestão,14
Áustria,14
Azeituna,14
Educação,13
Vítor,13
CVR,13
CECS,13
IB-S,13
ADB,13
Japão,12
Algarve,12
Internet,12
Paula,12
Suíça,12
Artes,12
Lab2PT,12
Artes Visuais,12
Arquivo,12
Santiago de Compostela,11
Austrália,11
Museu Nogueira de o Silva,11
IEP,11
Física,11
Londres,11
Fundação para a Ciência,11
ABC,11
BLCS,11
Programa Erasmus,11
Sul,10
Biblioteca Lúcio Craveiro de o Silva,10
Associação Académica,10
Ciências Sociais,10
Lúcio Craveiro de o Silva,10
EEUM,10
Ásia,10
Instituto,10
Centro de Biologia Molecular e Ambiental,10
ECUM,10
USC,9
Governo,9
Cabo Verde,9
Accenture,9
Orquestra de o UMinho,9
ULM,9
Bélgica,9
D. Pedro V,9
Açores,9
Informática,9
EEG,9
Universidade de Lisboa,9
Famalicão,9
Pedro Soares,9
Departamento,9
Humanidades,9
Brexit,9
Conselho Geral,9
Islândia,9
Nelson Areal,9
EAAD,9
CEHUM,8
CE,8
Letras,8
Engenharia Informática,8
Aníbal Alves,8
Sérgio Machado de o Santos,8
Universidade de Coimbra,8
Vila Verde,8
Teatro,8
Escola de Engenharia de o UMinho,8
Paris,8
FC Porto,8
TecMinho,8
ISET,8
Comunicação Social,8
Centro,8
Polónia,8
Joana Cunha,8
Acabei,8
Engenharia,8
Biblioteca Pública de Braga,8
Nova de Lisboa,8
João Sarmento,8
Helena Machado,8
Benfica,7
Via Láctea,7
AAUM,7
Finlândia,7
Casa Museu de Monção,7
Fundação Calouste Gulbenkian,7
Instituto de Educação e Psicologia,7
ePsi,7
Viena,7
Arquitetura,7
GPI,7
Veiga Simão,7
Universidade de Lourenço Marques,7
Barbosa Romero,7
João de Deus Pinheiro,7
Instituto Superior Técnico,7
Universidade de Manchester,7
Henedina Antunes,7
Argentina,7
Sociologia,7
Nelson Mandela,7
Escola de Ciências de o UMinho,7
Fundação para a Ciência e Tecnologia,7
PIEP,7
Município,7
Hélder Carvalho,7
EPsi,7
Escola de Psicologia de o UMinho,7
centro,7
Engenharia Civil,7
Universidade?,7
Cuba,7
Ensino Superior,7
